Designator,Mid X,Mid Y,Layer,Rotation
"R12",12.100,-25.400,top,270.000
"R13",16.400,-25.400,top,270.000
"R14",3.200,-6.300,top,0.000
"R15",5.700,-6.300,top,0.000
"R16",8.300,-6.300,top,0.000
"R17",10.800,-6.300,top,0.000
"R18",22.200,-26.100,top,90.000
"R19",26.500,-26.100,top,90.000
"R20",30.800,-26.100,top,90.000
"R21",35.100,-26.100,top,90.000
"R22",24.100,-28.400,top,90.000
"R23",28.400,-28.400,top,90.000
"R24",32.700,-28.400,top,90.000
"R25",37.000,-28.400,top,90.000
"R26",24.000,-25.400,top,270.000
"R27",28.300,-25.400,top,270.000
"R28",32.600,-25.400,top,270.000
"R29",36.900,-25.400,top,270.000
"R30",23.700,-6.300,top,0.000
"R31",26.200,-6.300,top,0.000
"R32",28.800,-6.300,top,0.000
"R33",31.300,-6.300,top,0.000
"R34",18.800,26.100,top,270.000
"R35",14.500,26.100,top,270.000
"R36",10.200,26.100,top,270.000
"R37",5.900,26.100,top,270.000
"R38",16.900,28.400,top,270.000
"R39",12.600,28.400,top,270.000
"R40",8.300,28.400,top,270.000
"R41",4.000,28.400,top,270.000
"R42",17.000,25.400,top,90.000
"R43",12.700,25.400,top,90.000
"R44",8.400,25.400,top,90.000
"R45",4.100,25.400,top,90.000
"R46",17.300,6.300,top,180.000
"R47",14.800,6.300,top,180.000
"R48",12.200,6.300,top,180.000
"R49",9.700,6.300,top,180.000
"R50",-18.800,-26.100,top,90.000
"R51",-14.500,-26.100,top,90.000
"R52",-10.200,-26.100,top,90.000
"R53",-5.900,-26.100,top,90.000
"R54",-16.900,-28.400,top,90.000
"R55",-12.600,-28.400,top,90.000
"R56",-8.300,-28.400,top,90.000
"R57",-4.000,-28.400,top,90.000
"R58",-17.000,-25.400,top,270.000
"R59",-12.700,-25.400,top,270.000
"R60",-8.400,-25.400,top,270.000
"R61",-4.100,-25.400,top,270.000
"R62",-17.300,-6.300,top,0.000
"R63",-14.800,-6.300,top,0.000
"R64",-12.200,-6.300,top,0.000
"R65",-9.700,-6.300,top,0.000
"R66",39.300,26.100,top,270.000
"R67",35.000,26.100,top,270.000
"R68",30.700,26.100,top,270.000
"R69",26.400,26.100,top,270.000
"R70",37.400,28.400,top,270.000
"R71",33.100,28.400,top,270.000
"R72",28.800,28.400,top,270.000
"R73",24.500,28.400,top,270.000
"R74",37.500,25.400,top,90.000
"R75",33.200,25.400,top,90.000
"R76",28.900,25.400,top,90.000
"R77",24.600,25.400,top,90.000
"R78",37.800,6.300,top,180.000
"R79",35.300,6.300,top,180.000
"R80",32.700,6.300,top,180.000
"R81",30.200,6.300,top,180.000
"R82",-1.700,26.100,top,270.000
"R83",-6.000,26.100,top,270.000
"R84",-10.300,26.100,top,270.000
"R85",-14.600,26.100,top,270.000
"R86",-3.600,28.400,top,270.000
"R87",-7.900,28.400,top,270.000
"R88",-12.200,28.400,top,270.000
"R89",-16.500,28.400,top,270.000
"R90",-3.500,25.400,top,90.000
"R91",-7.800,25.400,top,90.000
"R92",-12.100,25.400,top,90.000
"R93",-16.400,25.400,top,90.000
"R94",-3.200,6.300,top,180.000
"R95",-5.700,6.300,top,180.000
"R96",-8.300,6.300,top,180.000
"R97",-10.800,6.300,top,180.000
"R98",-22.200,26.100,top,270.000
"R99",-26.500,26.100,top,270.000
"R100",-30.800,26.100,top,270.000
"R101",-35.100,26.100,top,270.000
"R102",-24.100,28.400,top,270.000
"R103",-28.400,28.400,top,270.000
"R104",-32.700,28.400,top,270.000
"R105",-37.000,28.400,top,270.000
"R106",-24.000,25.400,top,90.000
"R107",-28.300,25.400,top,90.000
"R108",-32.600,25.400,top,90.000
"R109",-36.900,25.400,top,90.000
"R110",-23.700,6.300,top,180.000
"R111",-26.200,6.300,top,180.000
"R112",-28.800,6.300,top,180.000
"R113",-31.300,6.300,top,180.000
